"No.","業種","屋号","営業所所在地","営業所電話番号","申請者氏名","代表者氏名","申請者住所","申請年月日","許可年月日","初許可年月日","有効期間開始日","有効期間満了日","備考","LocName","fX","fY","iConf","iLvl"
7822,飲食店営業,料理屋　じぃ,熊本市中央区下通1丁目7-7GMビル2F-D,,渡邊　裕文,,,2023年1月25日,2023年1月27日,2023年1月27日,2023年1月27日,2029年2月28日,,"熊本県/熊本市/中央区/下通/一丁目/７番/７号","130.70802","32.80124","5","8"
7823,飲食店営業,ローソン　熊本画図下無田店,熊本市東区画図町下無田1475-1,370-2255,白井　佑治,,,2023年1月25日,2023年1月27日,2023年1月27日,2023年1月27日,2029年2月28日,,"熊本県/熊本市/東区/画図町/下無田/１４７５番地","130.73666","32.75472","5","7"
7824,飲食店営業,Ｂｒｅｗｅｒｙ　ＫＡＥＮ,熊本市東区長嶺南3丁目1-102レジデンス山本Ⅱ-102,384-0178,㈱ダイヤモンドブルーイング,鍛島　勇作,熊本市東区長嶺南3丁目1番102号,2023年1月27日,2023年2月22日,2023年2月22日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/東区/長嶺南/三丁目/１番/１０２号","130.76923","32.81221","5","8"
7825,飲食店営業,もぐもぐ,熊本市北区八景水谷2丁目10-1,343-8882,内永　深雪,,,2023年1月27日,2023年2月15日,2023年2月15日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/北区/八景水谷/二丁目/１０番/１号","130.72511","32.84439","5","8"
7826,飲食店営業,天草海まる,熊本市中央区二の丸1-1-2桜の馬場城彩苑,319-5073,㈱天草海食まるけん,野﨑　宏,熊本市南区南高江3丁目4-3,2023年1月27日,2023年1月27日,2023年1月27日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/中央区/二の丸/１番","130.70186","32.80378","5","7"
7827,飲食店営業,ビュッフェレストラン　ぎんなん　,熊本市中央区二の丸1-1-2,312-2691,九州産交リテール㈱,松原　靖,熊本市中央区花畑町4番3号,2023年1月27日,2023年2月10日,2023年2月10日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/中央区/二の丸/１番","130.70186","32.80378","5","7"
7828,飲食店営業,喫茶　櫻ン坂　,熊本市中央区二の丸1-1-2,312-2709,九州産交リテール㈱,松原　靖,熊本市中央区花畑町4番3号,2023年1月27日,2023年2月10日,2023年2月10日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/中央区/二の丸/１番","130.70186","32.80378","5","7"
7829,飲食店営業,銀華,熊本市中央区花畑町13-26第一銀杏ビル2F,353-2125,㈱ＮＩＳＨＩＭＵＲＡ,西村　さゆり,熊本市中央区花畑町13番26号第一銀杏ビル2階,2023年1月30日,2023年2月3日,2023年2月3日,2023年2月3日,2029年2月28日,,"熊本県/熊本市/中央区/花畑町/１３番/２６号","130.70622","32.80065","5","8"
7830,飲食店営業,Ｇｒａｍｍｙ,熊本市中央区下通1丁目7-3ALTAビル4F-E,,山本　直樹,,,2023年1月30日,2023年2月6日,2023年2月6日,2023年2月6日,2029年2月28日,,"熊本県/熊本市/中央区/下通/一丁目/７番/３号","130.70760","32.80136","5","8"
7831,飲食店営業,焼肉屋　元気カルビ,熊本市中央区九品寺6丁目9-39,366-5711,㈲みのる企画,薮田　幸広,熊本市北区楠野町437-2,2023年1月30日,2023年2月9日,2023年2月9日,2023年3月1日,2029年2月28日,,"熊本県/熊本市/中央区/九品寺/六丁目/９番/３９号","130.71413","32.78709","5","8"
