"No.","業種","屋号","営業所所在地","営業所電話番号","申請者氏名","代表者氏名","申請者住所","申請年月日","許可年月日","初許可年月日","有効期間開始日","有効期間満了日","備考","LocName","fX","fY","iConf","iLvl"
1,飲食店営業（一般食堂）,料理茶屋　山の庄,熊本市中央区水前寺1丁目31-3,381-9177,庄山　諭,,,2020年11月18日,2020年11月18日,1986年11月17日,2020年12月1日,2026年11月30日,,"熊本県/熊本市/中央区/水前寺/一丁目/３１番/３号","130.73030","32.79453","5","8"
2,飲食店営業（一般食堂）,酔陣,熊本市中央区九品寺1丁目4-11,,江藤　富美子,,,2020年8月20日,2020年8月20日,1992年4月1日,2020年9月1日,2026年5月31日,,"熊本県/熊本市/中央区/九品寺/一丁目/４番/１１号","130.71536","32.80006","5","8"
3,飲食店営業（一般食堂）,蔵八,熊本市中央区帯山5丁目41-47,383-6478,島田　榮次,,,2020年2月5日,2020年2月12日,1992年1月30日,2020年3月1日,2026年2月28日,,"熊本県/熊本市/中央区/帯山/五丁目/４１番/４７号","130.75449","32.80055","5","8"
4,飲食店営業（一般食堂）,大番外,熊本市東区東本町1-91,367-8403,新堀　嘉子,,,2020年5月11日,2020年5月11日,1992年4月15日,2020年9月1日,2026年5月31日,,"熊本県/熊本市/東区/東本町/１番/９１号","130.76147","32.77930","5","8"
5,飲食店営業（一般食堂）,焼肉の宮崎,熊本市東区健軍本町30-1,367-7961,住吉　幸夫,,,2020年7月21日,2020年7月21日,1986年3月28日,2020年9月1日,2026年5月31日,,"熊本県/熊本市/東区/健軍本町/３０番/１号","130.75993","32.78645","5","8"
6,飲食店営業（一般食堂）,奈仁和,熊本市中央区九品寺5丁目7-25イーストハウス101号,371-7484,東　忠義,,,2019年5月17日,2019年5月20日,1988年3月10日,2019年6月1日,2025年5月31日,,"熊本県/熊本市/中央区/九品寺/五丁目/７番/２５号","130.71577","32.79090","5","8"
7,飲食店営業（一般食堂）,有限会社ステーキ松下,熊本市中央区水前寺1丁目9-2,382-8388,㈲ステーキ松下,松下　和弘,熊本市中央区水前寺1丁目9-2,2019年11月20日,2019年11月22日,1978年10月3日,2019年12月1日,2025年11月30日,,"熊本県/熊本市/中央区/水前寺/一丁目/９番/２号","130.72939","32.79527","5","8"
8,飲食店営業（一般食堂）,センターリバー浜線店,熊本市中央区八王寺町34-16-2F,378-9191,㈱センターリバー,中川　秋夫,熊本市中央区八王寺町34-16,2020年8月6日,2020年8月6日,1992年7月8日,2020年9月1日,2026年8月31日,,"熊本県/熊本市/中央区/八王寺町/３４番/１６号","130.71503","32.78083","5","8"
9,飲食店営業（一般食堂）,喫茶　遊快,熊本市東区東野1丁目3-43,365-3450,久野　精一,,,2020年1月30日,2020年2月6日,1988年11月21日,2020年3月1日,2025年2月28日,,"熊本県/熊本市/東区/東野/一丁目/３番/４３号","130.76709","32.77749","5","8"
10,飲食店営業（一般食堂）,スナック秋桜,熊本市東区若葉1丁目42-10,369-7222,小原　節子,,,2018年11月21日,2018年11月29日,1987年9月28日,2018年12月1日,2024年11月30日,,"熊本県/熊本市/東区/若葉/一丁目/４２番/１０号","130.76259","32.77666","5","8"
11,飲食店営業（一般食堂）,珈琲館あじさい,熊本市中央区神水本町1-26,381-8744,託麻　光代,,,2019年5月9日,2019年5月9日,1979年5月7日,2019年6月1日,2025年5月31日,,"熊本県/熊本市/中央区/神水本町/１番/２６号","130.73817","32.78585","5","8"
12,飲食店営業（一般食堂）,モナミ,熊本市中央区大江本町6-10,366-2056,田代　栄子,,,2019年5月14日,2019年5月17日,1985年4月11日,2019年6月1日,2025年5月31日,,"熊本県/熊本市/中央区/大江本町/６番/１０号","130.72365","32.79553","5","8"
13,飲食店営業（一般食堂）,釜萬,熊本市東区小山町1990-1,380-2973,㈲釜萬,児玉　照輝,熊本市東区小山町1990-1,2019年1月29日,2019年2月13日,1985年2月5日,2019年3月1日,2025年2月28日,,"熊本県/熊本市/東区/小山町/１９９０番地","130.82317","32.83059","5","7"
14,飲食店営業（一般食堂）,やきとり孫市,熊本市中央区帯山4丁目3-28,382-5589,梶原　蓉子,,,2019年4月5日,2019年4月15日,1982年4月2日,2019年6月1日,2025年5月31日,,"熊本県/熊本市/中央区/帯山/四丁目/３番/２８号","130.74818","32.79979","5","8"
15,飲食店営業（一般食堂）,喫茶Ｂ＆Ｂ,熊本市東区東本町1-76,369-7267,辛木　孝介,,,2019年8月22日,2019年8月22日,1982年8月6日,2019年9月1日,2025年8月31日,,"熊本県/熊本市/東区/東本町/１番/７６号","130.76149","32.77861","5","8"
16,飲食店営業（一般食堂）,Ｃａｆｅホワイト,熊本市中央区上水前寺1丁目5-29,384-4229,可児　杲治,,,2020年2月12日,2020年2月18日,1982年12月6日,2020年3月1日,2026年2月28日,,"熊本県/熊本市/中央区/上水前寺/一丁目/５番/２９号","130.74274","32.79524","5","8"
17,飲食店営業（めん類）,手打ちうどん竹屋,熊本市中央区帯山9丁目4-54,382-1038,竹下　純生,,,2020年5月11日,2020年5月11日,1980年3月12日,2020年9月1日,2026年5月31日,,"熊本県/熊本市/中央区/帯山/九丁目/４番/５４号","130.76166","32.80534","5","8"
18,飲食店営業（一般食堂）,清香,熊本市中央区渡鹿2丁目11-3,366-3918,釜賀　勝正,,,2017年5月26日,2017年5月26日,1978年5月15日,2017年6月1日,2023年5月31日,,"熊本県/熊本市/中央区/渡鹿/二丁目/１１番/３号","130.73848","32.80547","5","8"
19,飲食店営業（めん類）,そば幸茶屋,熊本市東区画図町重富430-1,378-2247,㈲タナショウ,鶴川　文男,熊本市北区山室5丁目5-1,2020年5月15日,2020年5月15日,1992年4月2日,2020年9月1日,2026年5月31日,,"熊本県/熊本市/東区/画図町/重富/４３０番地","130.73119","32.76091","5","7"
20,飲食店営業（一般食堂）,東そば,熊本市東区渡鹿8丁目13-6,371-9597,堀端　忠義,,,2019年4月22日,2019年4月26日,1984年5月4日,2019年6月1日,2025年5月31日,,"熊本県/熊本市/東区/渡鹿/八丁目/１３番/６号","130.74287","32.81273","5","8"
21,飲食店営業（一般食堂）,中華料理　葉山亭,熊本市東区戸島1丁目8-18,389-3554,本田　新二,,,2020年11月26日,2020年11月26日,1985年10月16日,2020年12月1日,2026年11月30日,,"熊本県/熊本市/東区/戸島/一丁目/８番/１８号","130.79559","32.81718","5","8"
22,飲食店営業（一般食堂）,万両,熊本市中央区九品寺2丁目6-68,366-1572,本堀　繁,,,2017年5月11日,2017年5月22日,1978年5月11日,2017年6月1日,2023年5月31日,,"熊本県/熊本市/中央区/九品寺/二丁目/６番/６８号","130.71629","32.79656","5","8"
23,飲食店営業（一般食堂）,ジェラテリアカプリ,熊本市東区石原2丁目1-26,389-3931,堤　幸博,,,2019年5月13日,2019年5月23日,1988年4月22日,2019年6月1日,2025年5月31日,,"熊本県/熊本市/東区/石原/二丁目/１番/２６号","130.78043","32.84063","5","8"
24,飲食店営業（一般食堂）,炉ばた久美,熊本市中央区出水2丁目5-5,381-9089,塚崎　久美子,,,2018年11月15日,2018年11月30日,1981年10月23日,2018年12月1日,2024年11月30日,,"熊本県/熊本市/中央区/出水/二丁目/５番/５号","130.73512","32.78706","5","8"
25,飲食店営業（一般食堂）,お食事処　みっちゃん,熊本市中央区国府1丁目1-7,,松澤　満江,,,2020年8月20日,2020年8月20日,1983年3月8日,2020年9月1日,2026年5月31日,,"熊本県/熊本市/中央区/国府/一丁目/１番/７号","130.72656","32.79332","5","8"
26,飲食店営業（一般食堂）,万ごろう本店,熊本市中央区西子飼町8-29,345-4902,㈲万ごろう,野田　信之,熊本市中央区西子飼町8-29,2018年11月1日,2018年11月7日,1980年10月2日,2018年12月1日,2024年11月30日,,"熊本県/熊本市/中央区/西子飼町/８番/２９号","130.71869","32.81128","5","8"
27,飲食店営業（一般食堂）,肥後ラーメン,熊本市中央区出水4丁目34-3シャトー出水104,366-6831,北原　富夫,,,2020年8月3日,2020年8月3日,1989年7月19日,2020年9月1日,2026年8月31日,,"熊本県/熊本市/中央区/出水/四丁目/３４番/３号","130.73099","32.78009","5","8"
28,飲食店営業（一般食堂）,酒場ル　大江本町店,熊本市中央区大江本町2-7,371-9776,出口　真也,,,2019年2月18日,2019年2月26日,1982年2月18日,2019年3月1日,2025年2月28日,,"熊本県/熊本市/中央区/大江本町/２番/７号","130.72105","32.79613","5","8"
29,飲食店営業（一般食堂）,あづまラーメン,熊本市東区御領8丁目10-97,380-2828,㈲あづま商事,東　幸弘,熊本市東区御領8丁目10-97,2018年11月20日,2018年11月28日,1987年8月26日,2018年12月1日,2024年11月30日,,"熊本県/熊本市/東区/御領/八丁目/１０番/９７号","130.77597","32.83424","5","8"
30,飲食店営業（一般食堂）,鹿帰瀬亭,熊本市東区鹿帰瀬町431-1,380-1511,熊本森永乳業株式会社,村松　健,熊本市東区鹿帰瀬町431-1,2017年4月27日,2017年5月16日,1988年3月29日,2017年6月1日,2023年5月31日,,"熊本県/熊本市/東区/鹿帰瀬町/４３１番地","130.80011","32.84457","5","7"
31,飲食店営業（一般食堂）,レストランカウベル,熊本市東区桜木6丁目3-54,365-8811,熊本県畜産農業協同組合連合会,荒巻　弘幸,熊本市東区桜木6丁目3-54,2018年2月22日,2018年2月27日,1989年2月7日,2018年3月1日,2024年2月29日,,"熊本県/熊本市/東区/桜木/六丁目/３番/５４号","130.77841","32.78912","5","8"
32,飲食店営業（めん類）,味千ラーメン御領店,熊本市東区御領5丁目2-98,380-7192,戸野口　文雄,,,2019年8月27日,2019年8月27日,1985年6月24日,2019年9月1日,2025年8月31日,,"熊本県/熊本市/東区/御領/五丁目/２番/９８号","130.77400","32.82499","5","8"
33,飲食店営業（一般食堂）,熊日食堂,熊本市中央区世安町172,361-3100,㈱熊本日日新聞社,河村　邦比児,熊本市中央区世安町172,2019年10月10日,2019年10月16日,1981年11月3日,2019年12月1日,2025年11月30日,,"熊本県/熊本市/中央区/世安町/１７２番地","130.69832","32.78196","5","7"
34,飲食店営業（弁当屋）,金太郎,熊本市中央区九品寺3丁目14-17,366-6926,友清　喜美子,,,2018年11月26日,2018年11月26日,1981年9月29日,2018年12月1日,2024年11月30日,,"熊本県/熊本市/中央区/九品寺/三丁目/１４番/１７号","130.71748","32.79298","5","8"
35,飲食店営業（一般食堂）,カフェ・ド・ラム東バイパス店,熊本市東区御領5丁目11-1,380-8696,㈲五領企業,西川　正人,熊本市東区御領5丁目11-1,2019年2月4日,2019年2月13日,1985年1月29日,2019年3月1日,2025年2月28日,,"熊本県/熊本市/東区/御領/五丁目/１１番/１号","130.76968","32.82904","5","8"
36,飲食店営業（一般食堂）,四川,熊本市中央区出水5丁目9-42,362-4475,小林　勇一,,,2019年8月19日,2019年8月21日,1979年7月16日,2019年9月1日,2025年8月31日,,"熊本県/熊本市/中央区/出水/五丁目/９番/４２号","130.72743","32.78212","5","8"
37,飲食店営業（一般食堂）,ＪＡＺＺ ＩＮＮ おくら,熊本市中央区南坪井町1-12,325-9209,小倉　達弘,,,2019年8月26日,2019年8月26日,1982年7月2日,2019年9月1日,2025年8月31日,,"熊本県/熊本市/中央区/南坪井町/１番/１２号","130.71265","32.80735","5","8"
38,飲食店営業（一般食堂）,パートナー,熊本市東区若葉1丁目13-1BRビル1F,367-8462,田嶋　京子,,,2020年11月12日,2020年11月12日,1980年10月13日,2020年12月1日,2026年11月30日,,"熊本県/熊本市/東区/若葉/一丁目/１３番/１号","130.76111","32.77773","5","8"
39,飲食店営業（一般食堂）,マキシ,熊本市南区南高江1丁目13-20,358-6616,岩本　富美,,,2019年8月21日,2019年8月21日,1991年8月2日,2019年9月1日,2025年8月31日,,"熊本県/熊本市/南区/南高江/一丁目/１３番/２０号","130.68695","32.75331","5","8"
40,飲食店営業（一般食堂）,天草,熊本市東区健軍3丁目1-54シティビル1F,367-5717,板野　美津子,,,2017年8月31日,2017年8月31日,1987年6月30日,2017年9月1日,2023年8月31日,,"熊本県/熊本市/東区/健軍/三丁目/１番/５４号","130.75342","32.78111","5","8"
41,飲食店営業（一般食堂）,金壇,熊本市中央区大江4丁目1-3,362-6828,古閑　悟,,,2019年2月19日,2019年2月21日,1991年1月29日,2019年3月1日,2025年2月28日,,"熊本県/熊本市/中央区/大江/四丁目/１番/３号","130.71793","32.79993","5","8"
42,飲食店営業（一般食堂）,水前寺時雨,熊本市中央区出水1丁目6-8県営サンシャイン水前寺105,364-5568,佐藤　新一,,,2020年4月23日,2020年4月23日,1985年3月26日,2020年6月1日,2026年5月31日,,"熊本県/熊本市/中央区/出水/一丁目/６番/８号","130.73308","32.78928","5","8"
43,飲食店営業（めん類）,一本気うどん,熊本市東区長嶺東8丁目1-28,389-1210,㈲一本気うどん,林田　眞,熊本市東区長嶺東8丁目1-28,2019年8月22日,2019年8月29日,1991年5月30日,2019年9月1日,2025年8月31日,,"熊本県/熊本市/東区/長嶺東/八丁目/１番/２８号","130.78127","32.82831","5","8"
44,飲食店営業（一般食堂）,仕出しお食事処 縁,熊本市中央区帯山2丁目13-71,382-4270,㈱泉屋,工藤　泉,熊本市中央区帯山2丁目13-71,2020年2月20日,2020年2月27日,1990年2月2日,2020年3月1日,2026年2月28日,,"熊本県/熊本市/中央区/帯山/二丁目/１３番/７１号","130.74554","32.80518","5","8"
45,飲食店営業（一般食堂）,一休本舗水前寺店,熊本市中央区水前寺6丁目10-27,383-0606,㈱一休本舗,高木　功一,熊本市東区秋津3丁目14-1,2018年11月9日,2018年11月22日,1990年10月15日,2018年12月1日,2024年11月30日,,"熊本県/熊本市/中央区/水前寺/六丁目/１０番/２７号","130.74149","32.79302","5","8"
46,飲食店営業（一般食堂）,コーヒーモーニン,熊本市中央区水前寺公園7-51三和ビル1F,382-8719,坂田　良一,,,2019年5月16日,2019年5月21日,1982年3月12日,2019年6月1日,2025年5月31日,,"熊本県/熊本市/中央区/水前寺公園/７番/５１号","130.73317","32.78951","5","8"
47,飲食店営業（一般食堂）,夢眠,熊本市東区若葉3丁目8-5,369-5098,佐々木　和友,,,2019年5月9日,2019年5月14日,1985年4月26日,2019年6月1日,2025年5月31日,,"熊本県/熊本市/東区/若葉/三丁目/８番/５号","130.76221","32.77430","5","8"
48,飲食店営業（一般食堂）,西本珈琲,熊本市中央区新大江2丁目2-26,371-9694,西本　茂人,,,2019年1月22日,2019年1月23日,1975年12月10日,2019年3月1日,2025年2月28日,,"熊本県/熊本市/中央区/新大江/二丁目/２番/２６号","130.73021","32.80130","5","8"
49,飲食店営業（一般食堂）,ぱぶ＆すなっくアルビレオ　リール,熊本市中央区水前寺1丁目14-6,381-9716,仁田　英子,,,2019年10月7日,2019年11月22日,1974年9月24日,2019年12月1日,2025年11月30日,,"熊本県/熊本市/中央区/水前寺/一丁目/１４番/６号","130.72839","32.79488","5","8"
50,飲食店営業（一般食堂）,お食事処龍虎,熊本市中央区本山1丁目4-10,354-6855,牛島　興二,,,2019年11月26日,2019年11月26日,1972年11月14日,2019年12月1日,2025年11月30日,,"熊本県/熊本市/中央区/本山/一丁目/４番/１０号","130.70071","32.79108","5","8"
51,飲食店営業（一般食堂）,味善,熊本市東区水源1丁目13-27,369-9683,植嶋　澄夫,,,2020年8月3日,2020年8月3日,1986年6月26日,2020年9月1日,2026年8月31日,,"熊本県/熊本市/東区/水源/一丁目/１３番/２７号","130.75499","32.77650","5","8"
52,飲食店営業（一般食堂）,ひご一うなぎ とくなが,熊本市南区近見9丁目1-9,326-0055,㈲うなとく,徳永　隆正,熊本市南区近見9丁目1-9,2020年10月19日,2020年10月19日,1986年10月13日,2020年12月1日,2026年11月30日,,"熊本県/熊本市/南区/近見/九丁目/１番/９号","130.69826","32.76240","5","8"
53,飲食店営業（一般食堂）,防衛省共済組合井芹食堂,熊本市東区東町1丁目1-1,368-9584,㈲西田商事,井芹　謙勝,熊本市東区東本町21番1-905号,2021年2月25日,2021年2月25日,1992年1月21日,2021年3月1日,2027年2月28日,,"熊本県/熊本市/東区/東町/一丁目/１番","130.75937","32.79347","5","7"
54,飲食店営業（一般食堂）,Ａ−ｏｎｅ,熊本市中央区水前寺公園3-17,,江川　教子,,,2020年8月6日,2020年8月6日,1983年8月5日,2020年9月1日,2026年8月31日,,"熊本県/熊本市/中央区/水前寺公園/３番/１７号","130.73233","32.79095","5","8"
55,飲食店営業（一般食堂）,レストラン渡里夢,熊本市南区御幸笛田2丁目16-43キューピットビル1F,378-8877,野村　良孝,,,2020年5月7日,2020年5月11日,1986年4月24日,2020年9月1日,2026年5月31日,,"熊本県/熊本市/南区/御幸笛田/二丁目/１６番/４３号","130.70773","32.76354","5","8"
56,飲食店営業（一般食堂）,レストランてんとうむし,熊本市東区御領3丁目18-30,389-1244,浜田　一雄,,,2019年10月28日,2019年11月14日,1985年10月29日,2019年12月1日,2025年11月30日,,"熊本県/熊本市/東区/御領/三丁目/１８番/３０号","130.76880","32.82748","5","8"
57,飲食店営業（一般食堂）,葉華楼,熊本市東区長嶺東5丁目28-3,389-3656,葉山　住江,,,2020年2月26日,2020年2月26日,1985年12月9日,2020年3月1日,2026年2月28日,,"熊本県/熊本市/東区/長嶺東/五丁目/２８番/３号","130.77898","32.82707","5","8"
58,飲食店営業（一般食堂）,酒膳にし山,熊本市中央区新市街1-2藤本ビル2F,326-2480,西山　隆,,,2020年8月26日,2020年8月26日,1991年2月28日,2020年9月1日,2026年5月31日,,"熊本県/熊本市/中央区/新市街/１番/２号","130.70560","32.80016","5","8"
59,飲食店営業（弁当屋）,株式会社ゲイコー水産,熊本市西区田崎町484,326-3751,㈱ゲイコー水産,橋本　健太,熊本市西区田崎町484,2019年5月16日,2019年5月20日,2007年4月16日,2019年6月1日,2025年5月31日,,"熊本県/熊本市/西区/田崎町","130.67636","32.78257","5","5"
60,飲食店営業（一般食堂）,さかえラーメン,熊本市東区栄町1-48,369-3816,渡辺　水樹,,,2020年10月20日,2020年10月20日,1983年10月24日,2020年12月1日,2026年11月30日,,"熊本県/熊本市/東区/栄町/１番/４８号","130.75931","32.77550","5","8"
61,飲食店営業（一般食堂）,スタンドバー　パザパ,熊本市中央区花畑町12-8扇ビル3F,354-6543,北嶌　修治,,,2020年4月9日,2020年4月10日,1986年4月17日,2020年6月1日,2026年5月31日,,"熊本県/熊本市/中央区/花畑町/１２番/８号","130.70628","32.80099","5","8"
62,飲食店営業（一般食堂）,伊勢半,熊本市中央区新市街3-1栄通ビルBF,324-5128,藤原　誠,,,2020年11月24日,2020年11月24日,1992年9月18日,2020年12月1日,2026年11月30日,,"熊本県/熊本市/中央区/新市街/３番/１号","130.70679","32.80001","5","8"
63,飲食店営業（一般食堂）,ペンシー,熊本市中央区下通1丁目6-21下通センタービル3F,354-8915,㈱シーズ,坂嶋　しずえ,熊本市中央区下通1丁目6-21,2017年5月11日,2017年5月15日,1987年3月6日,2017年6月1日,2023年5月31日,,"熊本県/熊本市/中央区/下通/一丁目/６番/２１号","130.70914","32.80099","5","8"
64,飲食店営業（一般食堂）,ニック,熊本市中央区上通町5-14,354-4907,国米　太,,,2017年5月15日,2017年5月22日,1987年5月21日,2017年6月1日,2023年5月31日,,"熊本県/熊本市/中央区/上通町/５番/１４号","130.71179","32.80431","5","8"
65,飲食店営業（一般食堂）,カレーの店さんえす,熊本市中央区新市街5-14,356-8892,吉野　禎祐,,,2020年2月10日,2020年2月13日,1991年12月20日,2020年3月1日,2026年2月28日,,"熊本県/熊本市/中央区/新市街/５番/１４号","130.70659","32.79929","5","8"
66,飲食店営業（一般食堂）,ホンキィ・トンク,熊本市中央区下通1丁目4-19辰己苑ビル2F,325-7476,松村　徹,,,2019年5月27日,2019年5月27日,1985年5月7日,2019年6月1日,2025年5月31日,,"熊本県/熊本市/中央区/下通/一丁目/４番/１９号","130.70816","32.80170","5","8"
67,飲食店営業（一般食堂）,しゃぶしゃぶばら亭,熊本市中央区下通1丁目7-24サンスポット松藤ビル4F,353-2230,㈲松藤薔薇亭,松藤　鉄平,熊本市中央区下通1丁目7-24,2020年8月26日,2020年8月26日,1988年4月4日,2020年9月1日,2026年5月31日,,"熊本県/熊本市/中央区/下通/一丁目/７番/２４号","130.70726","32.80103","5","8"
68,飲食店営業（一般食堂）,扇里,熊本市中央区下通1丁目6-13三笠ビルBF,326-7213,前田　勝美,,,2019年5月24日,2019年5月24日,1987年5月15日,2019年6月1日,2025年5月31日,,"熊本県/熊本市/中央区/下通/一丁目/６番/１３号","130.70976","32.80107","5","8"
69,飲食店営業（一般食堂）,洋食の店橋本,熊本市中央区上通町1-24,324-1528,㈲洋食の店橋本,橋本　民雄,熊本市西区二本木5丁目4-1-113,2019年11月12日,2019年11月14日,1991年11月5日,2019年12月1日,2025年11月30日,,"熊本県/熊本市/中央区/上通町/１番/２４号","130.71013","32.80329","5","8"
70,飲食店営業（一般食堂）,クラブ志保,熊本市中央区花畑町13-3ジャスマックビル2F,354-8806,㈲志保企画,福本　峰子,熊本市中央区本荘5丁目4-55エフビル203,2018年11月15日,2018年11月26日,1987年8月18日,2018年12月1日,2024年11月30日,,"熊本県/熊本市/中央区/花畑町/１３番/３号","130.70668","32.80103","5","8"
71,飲食店営業（一般食堂）,珈琲院,熊本市中央区下通1丁目6-4武蔵ビル1F,322-0080,今村　光章,,,2019年8月28日,2019年8月28日,1974年7月4日,2019年9月1日,2025年8月31日,,"熊本県/熊本市/中央区/下通/一丁目/６番/４号","130.70909","32.80139","5","8"
72,飲食店営業（一般食堂）,ロッテリア上通店,熊本市中央区上通町6-23,326-5282,㈱ロッテリア,那須　誠司,東京都新宿区西新宿3丁目20-1,2017年5月22日,2017年5月30日,1985年3月9日,2017年6月1日,2023年5月31日,,"熊本県/熊本市/中央区/上通町/６番/２３号","130.71092","32.80466","5","8"
73,飲食店営業（一般食堂）,熊本ホテルキャッスル 中国食堂 桃花源,熊本市中央区城東町4-2-BF,326-3311,㈱熊本ホテルキャッスル,角田　吉顕,熊本市中央区城東町4-2,2019年8月19日,2019年8月19日,1975年8月12日,2019年9月1日,2025年8月31日,,"熊本県/熊本市/中央区/城東町/４番/２号","130.70927","32.80523","5","8"
74,飲食店営業（一般食堂）,熊本ホテルキャッスル　 レストラン・バー　トゥール　ド　シャトー,熊本市中央区城東町4-2-11F,326-3311,㈱熊本ホテルキャッスル,角田　吉顕,熊本市中央区城東町4-2,2019年8月19日,2019年8月19日,1986年9月11日,2019年9月1日,2025年8月31日,,"熊本県/熊本市/中央区/城東町/４番/２号","130.70927","32.80523","5","8"
75,飲食店営業（一般食堂）,ボクシン,熊本市中央区城東町5-42パレイシャル生駒1F,355-3626,武井　賢二郎,,,2019年5月14日,2019年5月24日,1988年3月29日,2019年6月1日,2025年5月31日,,"熊本県/熊本市/中央区/城東町/５番/４２号","130.71156","32.80641","5","8"
76,飲食店営業（一般食堂）,スナックぱるふぁん,熊本市中央区花畑町10-10中山ビルBF,324-8380,杉山　真由美,,,2020年5月25日,2020年5月25日,1981年4月18日,2020年9月1日,2026年5月31日,,"熊本県/熊本市/中央区/花畑町/１０番/１０号","130.70691","32.80189","5","8"
77,飲食店営業（一般食堂）,炭焼きよた,熊本市中央区花畑町11-24シャンセ品川2F,326-4350,㈲炭焼きよた,清田　仁明,熊本市北区高平2丁目19-5,2020年11月25日,2020年11月25日,1992年11月26日,2020年12月1日,2026年11月30日,,"熊本県/熊本市/中央区/花畑町/１１番/２４号","130.70662","32.80140","5","8"
78,飲食店営業（一般食堂）,スナックビクトリー,熊本市中央区下通1丁目9-27ナポレオンビル1F,322-8574,牛島　信広,,,2020年1月28日,2020年2月5日,1991年11月19日,2020年3月1日,2026年2月28日,,"熊本県/熊本市/中央区/下通/一丁目/９番/２７号","130.70694","32.80050","5","8"
79,飲食店営業（一般食堂）,あだち,熊本市中央区中央街6-27,322-6908,足立　正一,,,2020年5月7日,2020年5月7日,1975年5月8日,2020年9月1日,2026年5月31日,,"熊本県/熊本市/中央区/中央街/６番/２７号","130.70946","32.79991","5","8"
80,飲食店営業（一般食堂）,遊ｉｎｇ,熊本市中央区下通1丁目7-7GMビル1F,355-4325,太田　輝雄,,,2019年5月7日,2019年5月9日,1991年5月16日,2019年6月1日,2025年5月31日,,"熊本県/熊本市/中央区/下通/一丁目/７番/７号","130.70802","32.80124","5","8"
81,飲食店営業（一般食堂）,有限会社 松野商店,熊本市東区小山町2050,380-3180,㈲松野商店,松野　廣長,熊本市東区小山町2050,2017年5月12日,2017年5月15日,1984年5月9日,2017年6月1日,2023年5月31日,,"熊本県/熊本市/東区/小山町/２０５０番地","130.82518","32.83096","5","7"
82,飲食店営業（そうざい調理）,森加工場,熊本市南区御幸木部3丁目9-66,,森　富美代,,,2019年4月25日,2019年5月16日,2007年4月16日,2019年6月1日,2025年5月31日,,"熊本県/熊本市/南区/御幸木部/三丁目/９番/６６号","130.71315","32.74524","5","8"
83,飲食店営業（一般食堂）,ラウンジホワイトロマン,熊本市中央区花畑町13-3ジャスマックビル6F,353-1500,中島　ヒロ子,,,2018年11月30日,2018年11月30日,1984年10月23日,2018年12月1日,2024年11月30日,,"熊本県/熊本市/中央区/花畑町/１３番/３号","130.70668","32.80103","5","8"
84,飲食店営業（一般食堂）,スタンド四季,熊本市中央区花畑町11-29RS5ビル2F,324-8379,野口　和子,,,2020年7月3日,2020年7月3日,1977年4月18日,2020年9月1日,2026年5月31日,,"熊本県/熊本市/中央区/花畑町/１１番/２９号","130.70691","32.80177","5","8"
85,飲食店営業（一般食堂）,五平太,熊本市中央区大江4丁目12-4,371-9330,松本　金一郎,,,2018年10月26日,2018年10月29日,1990年11月14日,2018年12月1日,2024年11月30日,,"熊本県/熊本市/中央区/大江/四丁目/１２番/４号","130.72173","32.80282","5","8"
86,飲食店営業（一般食堂）,糸車,熊本市南区刈草1丁目4-23,358-0938,宮崎　裕,,,2020年6月30日,2020年7月3日,1986年3月8日,2020年9月1日,2026年5月31日,,"熊本県/熊本市/南区/刈草/一丁目/４番/２３号","130.68318","32.76002","5","8"
87,飲食店営業（一般食堂）,カフェ・ド・ラム下通店,熊本市中央区安政町1-23金井ビルB1,356-2897,㈲五領企業,西川　正人,熊本市東区御領5丁目11-1,2019年2月4日,2019年2月12日,1985年1月29日,2019年3月1日,2025年2月28日,,"熊本県/熊本市/中央区/安政町/１番/２３号","130.70911","32.80193","5","8"
88,飲食店営業（一般食堂）,ケンタッキーフライドチキン浜線バイパス店,熊本市南区出仲間9丁目6-40,373-2338,㈱Ｍｉｓｕｍｉ,岡　恒憲,鹿児島市卸本町7-25,2017年5月29日,2017年5月29日,1989年3月27日,2017年6月1日,2023年5月31日,,"熊本県/熊本市/南区/出仲間/九丁目/６番/４０号","130.72177","32.77081","5","8"
89,飲食店営業（一般食堂）,ケンタッキーフライドチキン熊本近見店,熊本市南区近見9丁目1-13,311-1728,㈱Ｍｉｓｕｍｉ,岡　恒憲,鹿児島市卸本町7-25,2020年8月17日,2020年8月17日,1986年8月8日,2020年9月1日,2026年8月31日,,"熊本県/熊本市/南区/近見/九丁目/１番/１３号","130.69868","32.76242","5","8"
90,飲食店営業（一般食堂）,甚八,熊本市中央区本山町304-8,326-1753,水口　邦憲,,,2020年8月17日,2020年8月17日,1989年6月23日,2020年9月1日,2026年8月31日,,"熊本県/熊本市/中央区/本山町/３０４番地","130.69736","32.78761","5","7"
91,飲食店営業（一般食堂）,ケンタッキーフライドチキン健軍店,熊本市東区新生1丁目1-16,331-1212,㈱Ｍｉｓｕｍｉ,岡　恒憲,鹿児島市卸本町7-20,2019年5月17日,2019年5月31日,1983年5月2日,2019年6月1日,2025年5月31日,,"熊本県/熊本市/東区/新生/一丁目/１番/１６号","130.75606","32.77991","5","8"
